S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
56,2023-02-20,371,MDB,Miteri Development Bank Limited,376.3000,376.3000,375.0000,,1456,546523.5000,378.1000,525.0000,308.0000,2023-02-20T11:23:23.439378,375.1000,4,375.35,
57,2023-02-20,385,ALICL,Asian Life Insurance Co. Limited,655.0000,668.1000,655.0000,,700,464810.0000,656.0000,1007.7000,428.0000,2023-02-20T11:21:02.990804,665.0000,4,664.01,
58,2023-02-20,393,PLIC,Prime Life Insurance Company Limited,448.0000,448.0000,444.0000,,2070,924398.0000,453.0000,801.0000,441.0000,2023-02-20T11:15:02.854910,444.0000,14,446.56,
59,2023-02-20,396,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,725.0000,725.0000,725.0000,,10,7250.0000,738.0000,1230.0000,729.0000,2023-02-20T11:11:29.325967,725.0000,1,725.00,
60,2023-02-20,397,ADBL,Agricultural Development Bank Limited,292.0000,297.0000,292.0000,,940,277625.0000,295.0000,415.0000,290.2000,2023-02-20T11:28:05.011915,295.9000,14,295.34,
61,2023-02-20,401,MLBL,Mahalaxmi Bikas Bank Ltd.,328.0000,328.0000,326.2000,,1100,359000.0000,327.0000,504.0000,297.0000,2023-02-20T11:26:32.652675,326.2000,4,326.36,
62,2023-02-20,403,SJLIC,SuryaJyoti Life Insurance Company Limited,480.0000,487.9000,480.0000,,4168,2017871.0000,481.2000,806.5000,351.0000,2023-02-20T11:27:29.767215,482.1000,29,484.13,
63,2023-02-20,417,GBBL,Garima Bikas Bank Limited,360.0000,362.0000,356.0000,,1077,386588.9000,361.8000,582.1000,318.0000,2023-02-20T11:26:02.259464,359.2000,10,358.94,
64,2023-02-20,418,JBBL,Jyoti Bikas Bank Limited,280.1000,281.0000,280.0000,,416,116646.8000,283.0000,434.0000,248.0000,2023-02-20T11:25:16.458839,281.0000,8,280.40,
65,2023-02-20,428,KRBL,Karnali Development Bank Limited,287.0000,287.0000,282.1000,,87,24644.1000,283.0000,435.0000,198.9000,2023-02-20T11:24:53.733173,287.0000,5,283.26,
66,2023-02-20,447,GLICL,Gurans Life Insurance Company Ltd.,431.9000,433.0000,431.9000,,241,104208.9000,439.8000,721.0000,431.1000,2023-02-20T11:24:09.948306,433.0000,3,432.40,
67,2023-02-20,450,CORBL,Corporate Development Bank Limited,338.0000,338.0000,327.0000,,40,13410.0000,332.0000,618.0000,211.3000,2023-02-20T11:16:14.101322,338.0000,4,335.25,
68,2023-02-20,459,KSBBL,Kamana Sewa Bikas Bank Limited,319.0000,320.0000,317.0000,,1105,352173.9000,318.5000,515.0000,292.0000,2023-02-20T11:27:38.792254,317.0000,12,318.70,
69,2023-02-20,471,MPFL,Multipurpose Finance Company  Limited,339.0000,340.0000,339.0000,,610,207090.0000,336.0000,428.0000,206.1000,2023-02-20T11:11:49.605085,340.0000,2,339.49,
70,2023-02-20,472,SADBL,Shangrila Development Bank Ltd.,330.2000,330.2000,330.2000,,55,18161.0000,335.0000,422.9000,245.0000,2023-02-20T11:16:06.100524,330.2000,1,330.20,
71,2023-02-20,473,SHINE,Shine Resunga Development Bank Ltd.,335.0000,339.0000,335.0000,,2100,709700.0000,339.0000,424.0000,255.1000,2023-02-20T11:25:20.247009,339.0000,10,337.95,
72,2023-02-20,474,MNBBL,Muktinath Bikas Bank Ltd.,400.0000,400.1000,398.0000,,849,339100.0000,400.0000,534.0000,368.0000,2023-02-20T11:21:51.366469,399.0000,16,399.41,
73,2023-02-20,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,644.0000,644.0000,643.0000,,180,115820.0000,641.0000,864.2000,559.0000,2023-02-20T11:21:20.454333,643.0000,3,643.44,
74,2023-02-20,502,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,1224.0000,1234.0000,1224.0000,,130,159330.0000,1210.0000,1443.0000,749.0000,2023-02-20T11:22:14.879663,1234.0000,4,1225.61,
75,2023-02-20,516,MFIL,Manjushree Finance Ltd.,452.0000,453.9000,452.0000,,670,303080.0000,453.0000,680.0000,362.0000,2023-02-20T11:25:07.653740,453.0000,8,452.35,
76,2023-02-20,517,NBL,Nepal Bank Limited,268.0000,271.5000,268.0000,,2156,581754.1000,268.1000,356.9000,259.1000,2023-02-20T11:25:25.203215,269.0000,19,269.83,
77,2023-02-20,532,CBL,Civil Bank Ltd,216.0000,216.0000,211.0000,,6427,1365956.5000,215.5000,251.3000,194.0000,2023-02-20T11:27:41.046394,211.0000,33,212.53,
78,2023-02-20,545,SLBBL,Swarojgar Laghu Bitta Bikas Bank Ltd.,930.0000,930.0000,920.0000,,71,65420.0000,930.0000,1115.0000,726.0000,2023-02-20T11:08:40.891697,920.0000,2,921.40,
79,2023-02-20,561,SINDU,Sindhu Bikash Bank Ltd,270.0000,279.5000,270.0000,,485,132845.0000,275.0000,405.0000,220.6000,2023-02-20T11:25:07.660985,278.0000,6,273.90,
80,2023-02-20,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,1211.0000,1232.0000,1211.0000,,250,305350.0000,1210.0000,1325.0000,965.0000,2023-02-20T11:28:15.544647,1228.0000,9,1221.40,
81,2023-02-20,575,RMDC,RMDC Laghubitta Bittiya Sanstha Ltd.,1025.0000,1025.0000,1016.0000,,70,71370.0000,1016.0000,1182.0000,707.0000,2023-02-20T11:27:39.128019,1018.0000,4,1019.57,
82,2023-02-20,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,589.0000,590.1000,589.0000,,58,34176.3000,600.0000,1009.0000,566.0000,2023-02-20T11:13:47.933686,590.1000,4,589.24,
83,2023-02-20,587,RLFL,Reliance Finance Ltd.,315.0000,315.0000,315.0000,,10,3150.0000,316.0000,491.0000,222.2000,2023-02-20T11:25:24.553148,315.0000,1,315.00,
84,2023-02-20,591,SHPC,Sanima Mai Hydropower Ltd.,308.1000,316.0000,308.0000,,1995,617432.7000,313.0000,453.0000,250.0000,2023-02-20T11:28:13.017966,314.1000,10,309.49,
85,2023-02-20,592,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,877.0000,877.0000,877.0000,,10,8770.0000,860.0000,1439.0000,702.0000,2023-02-20T11:23:49.583599,877.0000,1,877.00,
86,2023-02-20,593,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,933.0000,933.0000,933.0000,,10,9330.0000,933.0000,1359.0000,852.8000,2023-02-20T11:10:07.748831,933.0000,1,933.00,
87,2023-02-20,610,RIDI,Ridi Power Company Limited,357.0000,362.0000,357.0000,,4531,1629248.9000,357.0000,838.0000,337.0000,2023-02-20T11:28:03.715500,360.0000,24,359.57,
88,2023-02-20,686,BARUN,Barun Hydropower Co. Ltd.,256.0000,261.1000,256.0000,,2550,659591.1000,261.0000,579.9000,190.3000,2023-02-20T11:28:04.055741,260.0000,18,258.66,
89,2023-02-20,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,904.0000,904.0000,904.0000,,10,9040.0000,904.0000,1320.0000,775.0000,2023-02-20T11:10:17.461585,904.0000,1,904.00,
90,2023-02-20,693,CLBSL,Civil Laghubitta Bittiya Sanstha Ltd.,834.0000,849.0000,834.0000,,20,16830.0000,849.0000,1060.0000,662.5000,2023-02-20T11:25:52.250241,849.0000,2,841.50,
91,2023-02-20,694,KLBSL,Kisan Lagubitta Bittiya Sanstha Limited,785.0000,785.0000,785.0000,,11,8635.0000,800.0000,1636.0000,750.0000,2023-02-20T11:19:14.652072,785.0000,1,785.00,
92,2023-02-20,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1570.0000,1590.0000,1570.0000,,250,392900.0000,1540.0000,2430.0000,1537.0000,2023-02-20T11:12:28.475986,1590.0000,3,1571.60,
93,2023-02-20,697,API,Api Power Company Ltd.,265.0000,265.0000,260.0000,,8496,2215005.7000,264.0000,534.0000,200.0000,2023-02-20T11:27:30.206261,261.0000,53,260.71,
94,2023-02-20,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1110.0000,1110.0000,1110.0000,,64,71040.0000,1124.0000,1704.0000,1105.0000,2023-02-20T11:02:38.427346,1110.0000,2,1110.00,
95,2023-02-20,706,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,834.0000,867.0000,834.0000,,630,526109.0000,850.0000,1373.4000,666.0000,2023-02-20T11:23:56.005759,850.0000,7,835.09,
96,2023-02-20,1741,MERO,Mero Microfinance Bittiya Sanstha Ltd.,697.0000,697.0000,696.0000,,171,119097.0000,702.0000,1130.0000,700.3000,2023-02-20T11:19:54.403181,697.0000,6,696.47,
97,2023-02-20,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,197.5000,201.0000,197.5000,,8002,1594060.8000,199.0000,328.0000,159.8000,2023-02-20T11:28:06.289202,200.5000,57,199.20,
98,2023-02-20,2743,NGPL,Ngadi Group Power Ltd.,280.0000,285.0000,275.0000,,10082,2827217.9000,282.0000,698.0000,185.2000,2023-02-20T11:28:01.564462,282.0000,81,280.42,
99,2023-02-20,2744,GRDBL,Green Development Bank Ltd.,267.2000,267.2000,262.0000,,23,6078.0000,262.0000,363.9000,182.0000,2023-02-20T11:28:29.174639,262.0000,2,264.26,
