S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
195,2023-01-02,2829,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,1400.0000,1413.7000,1390.0000,1390.0000,296,416874.0000,1386.0000,2125.0000,1330.0000,2023-01-02T14:37:11.296945,1390.0000,10,1408.35,1692.77
196,2023-01-02,2831,UNHPL,Union Hydropower Limited,202.0000,214.0000,198.0000,212.0000,91118,19087461.0000,202.0000,427.5000,165.1000,2023-01-02T14:59:53.844480,212.0000,314,209.48,1590.00
197,2023-01-02,2880,HDHPC,Himal Dolakha Hydropower Company Limited,193.0000,202.8000,189.2000,200.7000,281925,56120216.4000,196.5000,377.0000,161.0000,2023-01-02T14:59:54.120984,200.7000,664,199.06,3211.20
198,2023-01-02,2914,UMRH,United IDI Mardi RB Hydropower Limited.,428.0000,472.0000,428.0000,471.0000,20572,9456697.2000,434.0000,1150.0000,390.0000,2023-01-02T14:59:42.261675,471.0000,192,459.68,1978.20
199,2023-01-02,5982,SLI,Sanima Life Insurance Limited,412.0000,436.0000,405.0000,430.0000,22169,9400960.9000,415.0000,651.2000,311.5000,2023-01-02T14:59:53.999370,430.0000,525,424.05,8961.20
200,2023-01-02,8033,GBBD85,Garima Debenture", 2085,830.0000,847.0000,830.0000,847.0000,175,147690.0000,830.0000,1000.0000,722.5000,2023-01-02T13:49:27.844130,847.0000,5,843.94,
201,2023-01-02,8055,BHL,Balephi Hydropower Limited,270.0000,275.0000,255.5000,267.3000,6960,1847402.8000,265.2000,397.0000,104.7000,2023-01-02T14:59:58.907566,267.3000,162,265.43,4886.16
202,2023-01-02,8097,PBD88,10% Prime Debenture 2088,840.0000,840.0000,840.0000,840.0000,25,21000.0000,840.0000,1000.0000,798.0000,2023-01-02T13:31:44.071571,840.0000,1,840.00,
203,2023-01-02,8106,GIBF1,Global IME Balanced Fund-1,8.4200,8.4200,8.1000,8.4200,500,4146.0000,8.5900,10.0000,7.5500,2023-01-02T14:12:20.566116,8.4200,5,8.29,863.69
204,2023-01-02,8128,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,959.8000,1055.7000,959.8000,1055.7000,60,60576.3000,959.8000,1055.7000,303.2000,2023-01-02T13:43:20.338607,1055.7000,15,1009.60,422.28
205,2023-01-02,131,NABIL,Nabil Bank Limited,735.5000,751.0000,725.0000,739.0000,227630,168451282.8000,721.1000,1213.0000,725.0000,2023-01-02T14:59:56.830606,739.0000,2961,740.02,199951.22
206,2023-01-02,135,SBI,Nepal SBI Bank Limited,302.9000,306.0000,295.0000,301.5000,50746,15350194.9000,297.5000,422.0000,251.0000,2023-01-02T14:59:43.872612,301.5000,129,302.49,30513.70
207,2023-01-02,152,NHPC,National Hydro Power Company Limited,229.0000,245.0000,223.0000,243.0000,248532,59339484.4000,227.3000,448.5000,176.4000,2023-01-02T14:59:50.768661,243.0000,917,238.75,3989.55
208,2023-01-02,154,CHCL,Chilime Hydropower Company Limited,395.0000,404.0000,391.1000,397.0000,18212,7242643.5000,392.1000,566.9000,347.9000,2023-01-02T14:59:42.703126,397.0000,133,397.68,28814.97
209,2023-01-02,176,NICL,Nepal Insurance Co. Ltd.,452.0000,498.0000,450.8000,491.0000,28800,13711790.3000,460.0000,937.3000,385.1000,2023-01-02T14:59:51.121447,491.0000,205,476.10,7312.54
210,2023-01-02,187,NLIC,Nepal Life Insurance Co. Ltd.,732.0000,734.0000,717.0000,725.0000,37153,26945719.8000,728.0000,1810.0000,570.0000,2023-01-02T14:59:58.714911,725.0000,472,725.26,59507.76
211,2023-01-02,194,NFS,Nepal Finance Ltd.,299.0000,306.9000,287.3000,300.0000,63008,18905761.7000,299.0000,760.0000,213.3000,2023-01-02T14:59:44.186107,300.0000,266,300.05,2516.83
